assessmentIdentifier,gradeLevelDescriptor
grade_5_math_geometry_fiab,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
grade_5_math_interim_comprehensive_assessment_ica,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
grade_5_math_measurement_and_data_iab,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
grade_5_math_multiply_and_divide_fractions_i_fiab,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
grade_5_math_multiply_and_divide_fractions_ii_fiab,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
grade_5_math_number_and_operations_fractions_fiab,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
grade_5_math_number_and_operations_in_base_ten_fiab,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
grade_5_math_numerical_expressions_fiab,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
grade_5_math_operations_and_algebraic_thinking_iab,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
grade_5_math_operations_with_whole_numbers_and_decimals_fiab,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
grade_5_math_patterns_and_relationships_fiab,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
grade_5_math_performance_task_turtle_habitat_iab,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
grade_5_math_place_value_system_fiab,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
grade_5_math_volume_concepts_fiab,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
grade_6_ela_brief_writes_iab,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_ela_editing_fiab,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_ela_interim_comprehensive_assessment_ica,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_ela_language_and_vocabulary_use_fiab,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_ela_listen/interpret_fiab,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_ela_make_and_support_inferences_informational_fiab,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_ela_make_and_support_inferences_literary_fiab,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_ela_performance_task_ancient_aztecs_iab,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_ela_read_informational_texts_iab,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_ela_read_literary_texts_iab,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_ela_research_analyze_and_integrate_information_fiab,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_ela_research_evaluate_information_and_sources_fiab,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_ela_research_iab,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_ela_research_use_evidence_fiab,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
grade_6_ela_revision_iab,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
